Geneid,ENCSR181WYS_1,ENCSR181WYS_2,ENCSR016WFQ_1,ENCSR016WFQ_2
ENSG00000223972,5,7,10,16
ENSG00000227232,894,1043,1309,877
ENSG00000278267,163,134,222,234
ENSG00000243485,5,6,15,9
ENSG00000284332,0,0,0,0
ENSG00000237613,0,0,3,0
ENSG00000268020,0,0,0,0
ENSG00000240361,0,2,0,0
ENSG00000186092,2,0,0,0
ENSG00000238009,175,245,227,183
ENSG00000239945,86,138,131,116
ENSG00000233750,59,84,88,58
ENSG00000268903,287,559,623,526
ENSG00000269981,201,331,297,359
ENSG00000239906,8,18,11,41
ENSG00000241860,54,74,111,57
ENSG00000222623,0,1,3,0
ENSG00000241599,0,0,0,0
ENSG00000279928,0,15,41,6
ENSG00000279457,572,595,726,587
ENSG00000273874,6,12,10,6
ENSG00000228463,318,343,331,251
ENSG00000236679,7,25,16,12
ENSG00000236601,0,5,0,0
ENSG00000237094,416,592,515,505
ENSG00000269732,0,0,0,0
ENSG00000284733,0,0,0,0
ENSG00000233653,0,2,0,0
ENSG00000250575,12,10,23,15
ENSG00000278757,4,10,11,0
ENSG00000230021,187,229,262,207
ENSG00000235146,2,3,4,1
ENSG00000225972,24,34,24,39
ENSG00000225630,1791,2959,2293,2157
ENSG00000237973,286,440,630,684
ENSG00000278791,8,22,28,24
ENSG00000229344,67,107,159,203
ENSG00000240409,75,160,141,155
ENSG00000248527,4443,5287,6796,7049
ENSG00000198744,27,69,134,143
ENSG00000268663,6,6,10,4
ENSG00000284662,0,0,0,0
ENSG00000229376,17,25,44,37
ENSG00000228327,579,884,742,534
ENSG00000223181,0,0,0,0
ENSG00000229905,2,0,0,0
ENSG00000237491,81,126,137,110
ENSG00000285268,5,2,4,0
ENSG00000230092,27,32,39,42
ENSG00000177757,24,28,25,26
ENSG00000228794,1848,1811,1919,1324
ENSG00000225880,101,170,166,57
ENSG00000230368,6,1,3,2
ENSG00000234711,0,5,15,1
ENSG00000283040,0,0,5,1
ENSG00000272438,7,9,6,12
ENSG00000230699,40,80,88,48
ENSG00000241180,12,11,27,23
ENSG00000223764,72,110,81,104
ENSG00000187634,2757,3194,3301,3686
ENSG00000188976,21441,23212,24973,21828
ENSG00000187961,2666,2989,3441,3542
ENSG00000187583,34,49,53,28
ENSG00000187642,27,20,85,76
ENSG00000272512,64,39,57,48
ENSG00000188290,573,738,1022,807
ENSG00000187608,706,796,871,641
ENSG00000231702,6,1,11,6
ENSG00000224969,7,1,10,8
ENSG00000188157,19336,23003,36781,22625
ENSG00000242590,1255,1317,2220,1586
ENSG00000217801,321,362,342,246
ENSG00000273443,57,61,76,32
ENSG00000237330,12,0,14,5
ENSG00000131591,2272,2749,3685,3388
ENSG00000223823,6,0,0,0
ENSG00000207730,0,0,3,1
ENSG00000207607,0,0,0,0
ENSG00000198976,0,0,6,0
ENSG00000272141,0,2,30,0
ENSG00000205231,4,0,58,18
ENSG00000162571,25,5,86,42
ENSG00000186891,3,12,7,16
ENSG00000186827,10,8,39,10
ENSG00000078808,11022,11416,15086,12171
ENSG00000176022,3818,4046,4904,3944
ENSG00000184163,121,113,128,91
ENSG00000260179,15,17,25,24
ENSG00000160087,6792,7554,8279,6132
ENSG00000230415,48,78,95,45
ENSG00000162572,543,686,744,495
ENSG00000131584,9287,10920,11131,9469
ENSG00000278073,7,12,2,5
ENSG00000169972,2437,2575,2794,2332
ENSG00000127054,11151,12566,16311,13201
ENSG00000283712,123,109,244,116
ENSG00000240731,270,259,212,299
ENSG00000224051,2172,2424,2820,2255
ENSG00000169962,175,203,198,191
ENSG00000107404,10674,10633,14363,10612
ENSG00000284372,12,9,21,22
ENSG00000162576,2307,2852,4885,3384
ENSG00000175756,9702,9772,11494,10620
ENSG00000223663,0,0,7,6
ENSG00000221978,13905,16362,19761,17565
ENSG00000224870,3124,3071,3726,3838
ENSG00000242485,5256,4856,5268,5444
ENSG00000264293,74,79,94,121
ENSG00000272455,294,395,537,459
ENSG00000235098,0,2,12,0
ENSG00000225905,0,2,0,0
ENSG00000205116,7,2,29,0
ENSG00000225285,25,3,68,33
ENSG00000179403,600,696,1227,548
ENSG00000215915,45,23,127,115
ENSG00000160072,5645,6473,6521,7332
ENSG00000284740,11,15,51,9
ENSG00000197785,8492,8794,10808,10559
ENSG00000205090,119,63,103,105
ENSG00000160075,10309,10560,12078,10027
ENSG00000215014,64,97,91,88
ENSG00000274481,1,0,44,6
ENSG00000228594,622,650,1322,520
ENSG00000272106,447,471,512,523
ENSG00000197530,4637,5474,5733,4183
ENSG00000189409,30,36,24,9
ENSG00000248333,4056,4492,5041,4470
ENSG00000272004,672,759,914,711
ENSG00000189339,9872,12543,13721,8438
ENSG00000269737,443,729,704,557
ENSG00000215914,3,8,12,3
ENSG00000008128,2950,3503,3755,3564
ENSG00000268575,3224,3888,4019,3740
ENSG00000227775,1089,1330,1549,928
ENSG00000215790,2801,3181,3674,2167
ENSG00000008130,8188,9001,11686,8209
ENSG00000078369,25979,26129,29965,18403
ENSG00000231050,22,16,30,13
ENSG00000169885,24,7,82,48
ENSG00000178821,326,396,459,324
ENSG00000142609,32,20,223,73
ENSG00000233542,4,4,20,6
ENSG00000187730,14,2,27,35
ENSG00000226969,0,0,0,0
ENSG00000067606,701,743,711,749
ENSG00000271806,26,15,78,58
ENSG00000182873,145,145,144,225
ENSG00000162585,5770,6533,7710,6249
ENSG00000234396,10,7,6,3
ENSG00000157933,7692,8900,8994,5253
ENSG00000116151,410,523,622,410
ENSG00000272161,0,2,20,40
ENSG00000269896,59,54,64,26
ENSG00000272420,8,14,35,30
ENSG00000157916,8943,9495,9975,9044
ENSG00000157911,2700,2790,3125,2920
ENSG00000149527,29,11,25,8
ENSG00000224387,0,1,0,0
ENSG00000229393,0,0,0,0
ENSG00000157881,3048,3221,3519,2682
ENSG00000197921,1,0,0,0
ENSG00000272449,46,38,47,94
ENSG00000238164,55,59,86,50
ENSG00000157873,148,171,166,91
ENSG00000225931,6,0,9,0
ENSG00000228037,2,2,17,6
ENSG00000157870,1555,1433,2221,1288
ENSG00000142606,273,309,419,324
ENSG00000237058,1,3,0,0
ENSG00000215912,43,47,63,34
ENSG00000283259,1,0,0,0
ENSG00000233234,0,0,0,0
ENSG00000231630,0,0,0,0
ENSG00000284745,3,0,2,2
ENSG00000169717,8,0,0,0
ENSG00000177133,2,0,6,0
ENSG00000142611,17,12,32,20
ENSG00000283572,0,0,0,0
ENSG00000226286,0,0,0,0
ENSG00000279839,16,4,26,10
ENSG00000272235,0,2,0,0
ENSG00000130762,157,108,89,124
ENSG00000272088,2,0,0,0
ENSG00000162591,185,181,85,125
ENSG00000207776,0,0,0,0
ENSG00000238260,12,31,15,8
ENSG00000158109,1758,1692,1567,950
