samples,treatment,batch,crispri_geneid
ENCSR016WFQ_1,CRISPRi_CONTROL,A,NA
ENCSR016WFQ_2,CRISPRi_CONTROL,A,NA
ENCSR095PIC_1,CRISPRi_CONTROL,B,NA
ENCSR095PIC_2,CRISPRi_CONTROL,B,NA
ENCSR761AQZ_1,CRISPRi_CONTROL,C,NA
ENCSR761AQZ_2,CRISPRi_CONTROL,C,NA
ENCSR000CPH_1,None,Z,NA
ENCSR000CPH_2,None,Z,NA
ENCSR850LOZ_1,GATA1,A,ENSG00000102145
ENCSR850LOZ_2,GATA1,A,ENSG00000102145
ENCSR369BHC_1,HDAC8,A,ENSG00000147099
ENCSR369BHC_2,HDAC8,A,ENSG00000147099
ENCSR713AEC_1,HINFP,A,ENSG00000172273
ENCSR713AEC_2,HINFP,A,ENSG00000172273
ENCSR942XXL_1,HMBOX1,A,ENSG00000147421
ENCSR942XXL_2,HMBOX1,A,ENSG00000147421
ENCSR069OUL_1,HMGA1,A,ENSG00000137309
ENCSR069OUL_2,HMGA1,A,ENSG00000137309
ENCSR263IOO_1,HMGB2,A,ENSG00000164104
ENCSR263IOO_2,HMGB2,A,ENSG00000164104
ENCSR011GAO_1,HMGN1,A,ENSG00000205581
ENCSR011GAO_2,HMGN1,A,ENSG00000205581
ENCSR243VNX_1,HMGN2,A,ENSG00000198830
ENCSR243VNX_2,HMGN2,A,ENSG00000198830
ENCSR810RIC_1,HOXB9,A,ENSG00000170689
ENCSR810RIC_2,HOXB9,A,ENSG00000170689
ENCSR900AQL_1,KHSRP,A,ENSG00000088247
ENCSR900AQL_2,KHSRP,A,ENSG00000088247
ENCSR385ZTW_1,NFE2L1,A,ENSG00000082641
ENCSR385ZTW_2,NFE2L1,A,ENSG00000082641
ENCSR171KMM_1,NFYB,A,ENSG00000120837
ENCSR171KMM_2,NFYB,A,ENSG00000120837
ENCSR808HQN_1,NR2C2,A,ENSG00000177463
ENCSR181WYS_1,NSD2,A,ENSG00000109685
ENCSR181WYS_2,NSD2,A,ENSG00000109685
ENCSR084NTT_1,SRF,A,ENSG00000112658
ENCSR084NTT_2,SRF,A,ENSG00000112658
ENCSR184VVN_1,STAT1,A,ENSG00000115415
ENCSR184VVN_2,STAT1,A,ENSG00000115415
ENCSR608ORR_1,UBTF,A,ENSG00000108312
ENCSR608ORR_2,UBTF,A,ENSG00000108312
ENCSR545HTM_1,USF1,A,ENSG00000158773
ENCSR545HTM_2,USF1,A,ENSG00000158773
ENCSR223QTD_1,ZBTB33,A,ENSG00000177485
ENCSR223QTD_2,ZBTB33,A,ENSG00000177485
ENCSR911BML_1,ZC3H11A,A,ENSG00000058673
ENCSR911BML_2,ZC3H11A,A,ENSG00000058673
ENCSR781XJD_1,ZNF143,A,ENSG00000166478
ENCSR781XJD_2,ZNF143,A,ENSG00000166478
ENCSR103URL_1,ZNF384,A,ENSG00000126746
ENCSR103URL_2,ZNF384,A,ENSG00000126746
ENCSR898UNK_1,ARID3A,B,ENSG00000116017
ENCSR898UNK_2,ARID3A,B,ENSG00000116017
ENCSR123IMQ_1,ATF3,B,ENSG00000162772
ENCSR123IMQ_2,ATF3,B,ENSG00000162772
ENCSR190RZZ_1,BACH1,B,ENSG00000156273
ENCSR190RZZ_2,BACH1,B,ENSG00000156273
ENCSR200UDS_1,CITED2,B,ENSG00000164442
ENCSR200UDS_2,CITED2,B,ENSG00000164442
ENCSR171RTN_1,CTBP1,B,ENSG00000159692
ENCSR171RTN_2,CTBP1,B,ENSG00000159692
ENCSR862UHT_1,DLX1,B,ENSG00000144355
ENCSR862UHT_2,DLX1,B,ENSG00000144355
ENCSR028FBD_1,DPF2,B,ENSG00000133884
ENCSR028FBD_2,DPF2,B,ENSG00000133884
ENCSR268DNJ_1,ERF,B,ENSG00000105722
ENCSR268DNJ_2,ERF,B,ENSG00000105722
ENCSR773VKE_1,FOXK2,B,ENSG00000141568
ENCSR773VKE_2,FOXK2,B,ENSG00000141568
ENCSR701TVL_1,FOXM1,B,ENSG00000111206
ENCSR701TVL_2,FOXM1,B,ENSG00000111206
ENCSR557BMX_1,GATA2,B,ENSG00000179348
ENCSR557BMX_2,GATA2,B,ENSG00000179348
ENCSR160YSN_1,HMGN3,B,ENSG00000118418
ENCSR160YSN_2,HMGN3,B,ENSG00000118418
ENCSR359VJC_1,HOXB4,B,ENSG00000182742
ENCSR359VJC_2,HOXB4,B,ENSG00000182742
ENCSR734VBC_1,HSF1,B,ENSG00000185122
ENCSR734VBC_2,HSF1,B,ENSG00000185122
ENCSR073QLQ_1,ILF2,B,ENSG00000143621
ENCSR073QLQ_2,ILF2,B,ENSG00000143621
ENCSR389OCD_1,JUND,B,ENSG00000130522
ENCSR389OCD_2,JUND,B,ENSG00000130522
ENCSR620DOP_1,KLF2,B,ENSG00000127528
ENCSR620DOP_2,KLF2,B,ENSG00000127528
ENCSR046FQX_1,LDB1,B,ENSG00000198728
ENCSR046FQX_2,LDB1,B,ENSG00000198728
ENCSR733ROU_1,MAF1,B,ENSG00000179632
ENCSR733ROU_2,MAF1,B,ENSG00000179632
ENCSR733TFF_1,MEIS2,B,ENSG00000134138
ENCSR733TFF_2,MEIS2,B,ENSG00000134138
ENCSR905SEH_1,MITF,B,ENSG00000187098
ENCSR905SEH_2,MITF,B,ENSG00000187098
ENCSR104JMN_1,MXD3,B,ENSG00000213347
ENCSR104JMN_2,MXD3,B,ENSG00000213347
ENCSR381TNV_1,NFATC1,B,ENSG00000131196
ENCSR381TNV_2,NFATC1,B,ENSG00000131196
ENCSR385ZTW_3,NFE2L1,B,ENSG00000082641
ENCSR385ZTW_4,NFE2L1,B,ENSG00000082641
ENCSR096VPS_3,NFYA,B,ENSG00000001167
ENCSR096VPS_4,NFYA,B,ENSG00000001167
ENCSR171KMM_3,NFYB,B,ENSG00000120837
ENCSR171KMM_4,NFYB,B,ENSG00000120837
ENCSR039VEQ_1,NONO,B,ENSG00000147140
ENCSR039VEQ_3,NONO,B,ENSG00000147140
ENCSR039VEQ_4,NONO,B,ENSG00000147140
ENCSR808HQN_3,NR2C2,B,ENSG00000177463
ENCSR808HQN_4,NR2C2,B,ENSG00000177463
ENCSR688UTN_1,NR2F2,B,ENSG00000185551
ENCSR688UTN_3,NR2F2,B,ENSG00000185551
ENCSR688UTN_4,NR2F2,B,ENSG00000185551
ENCSR357LVC_3,NR4A1,B,ENSG00000123358
ENCSR357LVC_4,NR4A1,B,ENSG00000123358
ENCSR299HUJ_1,NRF1,B,ENSG00000106459
ENCSR299HUJ_3,NRF1,B,ENSG00000106459
ENCSR299HUJ_4,NRF1,B,ENSG00000106459
ENCSR181WYS_3,NSD2,B,ENSG00000109685
ENCSR181WYS_4,NSD2,B,ENSG00000109685
ENCSR235ZEI_1,RBBP7,B,ENSG00000102054
ENCSR235ZEI_3,RBBP7,B,ENSG00000102054
ENCSR235ZEI_4,RBBP7,B,ENSG00000102054
ENCSR052ZPX_3,RELA,B,ENSG00000173039
ENCSR052ZPX_4,RELA,B,ENSG00000173039
ENCSR619EYC_1,RFX5,B,ENSG00000143390
ENCSR619EYC_2,RFX5,B,ENSG00000143390
ENCSR043UMW_3,RNF2,B,ENSG00000121481
ENCSR043UMW_4,RNF2,B,ENSG00000121481
ENCSR819PCU_1,SETDB1,B,ENSG00000143379
ENCSR819PCU_2,SETDB1,B,ENSG00000143379
ENCSR819PCU_3,SETDB1,B,ENSG00000143379
ENCSR104QKG_3,SIX5,B,ENSG00000177045
ENCSR104QKG_4,SIX5,B,ENSG00000177045
ENCSR731FEO_3,SMAD5,B,ENSG00000113658
